lab       NUDT16L1  MDM1      TRIM27    ENPP4     AKR1B10   SDPR      AKR1C3    C17orf104 ICAM1     MBP       PALM      CRYAB     KRT14     NES       ARHGEF6   C1orf144  GSTM3     RECQL4    EGFL7     ZNF185    CTSZ      CLEC3B    APBB1IP
  1709.030   487.087  7001.930  2253.050  3692.020  1864.960   699.526   600.386  4389.540   837.856   921.463  3566.070  5609.990   137.028  3077.150 14524.500  2182.410 16615.800  1807.880  7241.710 21000.800   288.956  1206.740  1862.720
   918.827   295.814  4570.250  1456.300  3074.280   738.603   411.221   394.182  1989.070   529.361   494.176  2050.180  3204.130    75.226  1114.240  7499.420  1272.020 10458.200   381.462  3868.110 13688.400   173.387   792.926   804.715
LTF       PFN1      TPM2      NUDT4     TXNRD1    RAD23B    GPR56     POLR2K    ZNRD1     TAGLN2    RALGAPA1  CCDC150   HDHD2     VGLL3     EIF4EBP1  NCAM2     TPT1      KRT1      PSMF1     HLA-B     TGFBRAP1  EXOC5     RPS12     USP33
  1637.050 51075.800 55759.100   551.977 27598.700 13468.500   931.656   279.208  1207.950 54808.400  2102.870  1671.930  4697.260   373.074  1476.550  1240.820 36971.400 14590.900  5714.210   322.927   256.602  1796.210 26525.400  2106.870
  1508.610 38423.500 37282.200   311.976 22935.600  8614.510   746.108   215.555   977.197 34344.200  1372.230  1368.290  2775.750   299.682  1195.590  1006.120 22486.900 11844.600  4537.050   249.988   200.382  1457.800 15729.100  1806.220
  1271.610 25191.700 25191.400   261.744 15164.600  6442.760   460.360   131.270   640.124 23828.500  1099.630   909.170  2653.410   199.177   766.053   668.482 17106.700  7871.010  3291.070   169.258   138.223  1037.240 11080.700  1439.810
   198.824 16736.000 18568.800   145.505  8669.400  4005.110   333.908   103.465   396.658 18490.700   550.328   537.600   909.118   121.870   510.909   409.160 11418.800  4833.120  1642.060   107.149    82.343   536.173  9408.460   462.261
HLA-C     GRN       CFL1      PGPEP1    C14orf119 STARD5    MED29     NR3C2     PPIF      TALDO1    PCDHB16   FKBP1A    CDH13     RCHY1     TCEAL4    TRERF1    LSM7      ZYX       HNRPLL    OBSL1     BTBD10    MTIF3     ZNF280C   PPA1
  1553.020 18529.700 59783.400  1154.020  3796.040   982.959  4445.290  2001.920 13488.900 25049.200  2205.630  6135.600  9576.120  1196.660  8976.920   452.177  7956.820 31680.200 10525.800 11243.700   900.176  5573.810   560.101 42074.900
  1355.310 15514.100 39498.100   923.787  3481.760   785.533  3756.460  1598.540  9652.160 20760.600  1949.580  5110.470  7801.570  1064.840  7037.940   274.987  5671.240 22490.500  7803.590  9116.150   848.512  4324.310   385.913 26573.900
